Company Id,Upline station,Arrival Station,Scheduled Arvl Datetime,Sch Arv Date,Sch Arv Time,Gate,Departure Station,Downline Arrival Station,Scheduled Dept Datetime,Sch Dept Date,Sch Dept Time,Fleet,Tail Number
OO,DEN,RIC,2019-08-30 23:20:00,2019-08-30,23:20:00,B1,RIC,DEN,2019-08-31 06:15:00,2019-08-31,06:15:00,ERJ-175,N121SY
C5,EWR,RIC,2019-08-29 19:55:00,2019-08-29,19:55:00,B4,RIC,IAD,2019-08-29 20:25:00,2019-08-29,20:25:00,ERJ-145,N14162
EV,EWR,RIC,2019-08-31 10:15:00,2019-08-31,10:15:00,B4,RIC,ORD,2019-08-31 13:30:00,2019-08-31,13:30:00,ERJ-145,N13989
ZW,IAD,RIC,2019-08-25 18:15:00,2019-08-25,18:15:00,B3,RIC,ORD,2019-08-25 18:45:00,2019-08-25,18:45:00,CRJ-200,N423AW
C5,EWR,RIC,2019-08-28 10:30:00,2019-08-28,10:30:00,B4,RIC,EWR,2019-08-28 11:00:00,2019-08-28,11:00:00,ERJ-145,N14186
OO,ORD,RIC,2019-08-31 10:05:00,2019-08-31,10:05:00,B1,RIC,ORD,2019-08-31 10:35:00,2019-08-31,10:35:00,CRJ-200,N969SW
ZW,IAD,RIC,2019-08-25 09:43:00,2019-08-25,09:43:00,B1,RIC,IAD,2019-08-25 10:45:00,2019-08-25,10:45:00,CRJ-200,N453AW
EV,EWR,RIC,2019-08-25 12:58:00,2019-08-25,12:58:00,B1,RIC,ORD,2019-08-25 13:30:00,2019-08-25,13:30:00,ERJ-145,N17560
UA,ORD,RIC,2019-08-21 21:12:00,2019-08-21,21:12:00,B3,RIC,ORD,2019-08-22 07:00:00,2019-08-22,07:00:00,A319-100,N834UA
EV,EWR,RIC,2019-08-28 12:58:00,2019-08-28,12:58:00,B4,RIC,ORD,2019-08-28 13:30:00,2019-08-28,13:30:00,ERJ-145,N11107
OO,DEN,RIC,2019-08-28 23:20:00,2019-08-28,23:20:00,B3,RIC,DEN,2019-08-29 06:15:00,2019-08-29,06:15:00,ERJ-175,N209SY
C5,IAD,RIC,2019-08-31 13:43:00,2019-08-31,13:43:00,B3,RIC,EWR,2019-08-31 14:25:00,2019-08-31,14:25:00,ERJ-145,N16149
EV,EWR,RIC,2019-08-28 16:50:00,2019-08-28,16:50:00,B4,RIC,EWR,2019-08-28 17:45:00,2019-08-28,17:45:00,ERJ-145,N11551
EV,EWR,RIC,2019-08-27 16:50:00,2019-08-27,16:50:00,B1,RIC,EWR,2019-08-27 17:45:00,2019-08-27,17:45:00,ERJ-145,N25134
OO,ORD,RIC,2019-08-29 10:05:00,2019-08-29,10:05:00,B3,RIC,ORD,2019-08-29 10:35:00,2019-08-29,10:35:00,CRJ-200,N932EV
EV,ORD,RIC,2019-08-24 00:33:00,2019-08-24,00:33:00,B2,RIC,EWR,2019-08-24 05:40:00,2019-08-24,05:40:00,ERJ-145,N14907
EV,EWR,RIC,2019-08-28 21:35:00,2019-08-28,21:35:00,B4,RIC,EWR,2019-08-29 09:30:00,2019-08-29,09:30:00,ERJ-145,N14188
ZW,IAD,RIC,2019-08-29 18:15:00,2019-08-29,18:15:00,B3,RIC,ORD,2019-08-29 18:45:00,2019-08-29,18:45:00,CRJ-200,N432AW
ZW,ORD,RIC,2019-08-31 15:05:00,2019-08-31,15:05:00,B3,RIC,IAD,2019-08-31 15:35:00,2019-08-31,15:35:00,CRJ-200,N420AW
YV,IAH,RIC,2019-08-30 22:18:00,2019-08-30,22:18:00,B4,RIC,IAH,2019-08-31 06:05:00,2019-08-31,06:05:00,ERJ-175,N88332
YV,IAH,RIC,2019-08-30 16:05:00,2019-08-30,16:05:00,B3,RIC,IAH,2019-08-30 16:45:00,2019-08-30,16:45:00,ERJ-175,N93305
ZW,ORD,RIC,2019-08-28 15:05:00,2019-08-28,15:05:00,B1,RIC,IAD,2019-08-28 15:35:00,2019-08-28,15:35:00,CRJ-200,N454AW
EV,ORD,RIC,2019-08-31 00:33:00,2019-08-31,00:33:00,B2,RIC,EWR,2019-08-31 05:40:00,2019-08-31,05:40:00,ERJ-145,N14907
OO,DEN,RIC,2019-08-30 14:01:00,2019-08-30,14:01:00,B3,RIC,DEN,2019-08-30 15:45:00,2019-08-30,15:45:00,ERJ-175,N204SY
ZW,ORD,RIC,2019-08-25 15:05:00,2019-08-25,15:05:00,B4,RIC,IAD,2019-08-25 15:35:00,2019-08-25,15:35:00,CRJ-200,N436AW
YV,IAD,RIC,2019-08-31 09:43:00,2019-08-31,09:43:00,B1,RIC,IAD,2019-08-31 10:45:00,2019-08-31,10:45:00,CRJ-700,N503MJ
OO,DEN,RIC,2019-08-25 23:20:00,2019-08-25,23:20:00,B1,RIC,DEN,2019-08-26 06:15:00,2019-08-26,06:15:00,ERJ-175,N151SY
